               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032588,            0.014892,            0.070192,             0.38606,             0.25355,             0.27037,             0.16725,             0.02555,           0.0060957,            0.048163,            0.008812,            0.008812,            0.008812
                  38,             0.03297,             0.01438,            0.069134,             0.35063,             0.39395,             0.29074,             0.19122,            0.022864,           0.0050318,             0.04559,            0.008779,            0.008779,            0.008779
                  39,            0.034482,            0.014629,            0.068332,             0.30602,             0.46591,             0.28093,             0.20152,             0.02026,            0.004904,            0.045983,            0.008746,            0.008746,            0.008746
                  40,            0.032818,            0.014567,            0.068569,             0.29423,             0.44797,             0.26344,               0.162,            0.022941,           0.0049894,            0.045433,            0.008713,            0.008713,            0.008713
                  41,             0.03351,            0.014431,            0.069745,             0.33419,             0.35712,             0.28653,             0.18372,            0.024451,           0.0051391,            0.045767,             0.00868,             0.00868,             0.00868
                  42,            0.033436,            0.014489,            0.068281,             0.25891,             0.50157,             0.36799,             0.22091,            0.025556,           0.0051242,            0.044808,            0.008647,            0.008647,            0.008647
                  43,            0.031436,            0.014459,            0.068726,             0.31294,              0.4374,             0.32571,             0.24006,            0.018588,           0.0051247,            0.045608,            0.008614,            0.008614,            0.008614
                  44,            0.032249,            0.014314,            0.066941,             0.30934,             0.53126,             0.32612,             0.24055,            0.020991,           0.0044872,            0.045306,            0.008581,            0.008581,            0.008581
                  45,            0.031585,            0.014247,            0.068762,             0.34074,             0.47453,             0.31235,             0.20927,            0.020819,           0.0048638,            0.043702,            0.008548,            0.008548,            0.008548
                  46,            0.031224,             0.01426,            0.064994,             0.31268,             0.45808,             0.30778,             0.19821,            0.022084,           0.0044456,            0.043099,            0.008515,            0.008515,            0.008515
                  47,            0.031184,            0.013733,            0.066998,             0.44305,              0.4129,             0.35093,             0.24856,            0.020854,           0.0046233,            0.042078,            0.008482,            0.008482,            0.008482
                  48,            0.030909,            0.013539,            0.066592,              0.4062,               0.448,             0.33831,             0.24315,            0.019948,           0.0044325,            0.041118,            0.008449,            0.008449,            0.008449
                  49,            0.032358,            0.013762,            0.066513,             0.37208,             0.38508,             0.32711,              0.2231,            0.021777,           0.0048842,            0.041486,            0.008416,            0.008416,            0.008416
                  50,            0.031827,            0.014137,            0.066306,             0.39926,             0.38288,              0.3023,             0.21116,            0.021291,           0.0053309,            0.040777,            0.008383,            0.008383,            0.008383
                  51,            0.031018,            0.013647,            0.065258,              0.3596,             0.46644,             0.34521,              0.2377,            0.019856,           0.0046831,            0.040869,             0.00835,             0.00835,             0.00835
                  52,            0.031619,            0.013343,            0.065358,             0.34929,              0.4818,             0.33168,              0.2258,            0.019074,             0.00457,            0.044009,            0.008317,            0.008317,            0.008317
                  53,            0.031612,            0.013443,            0.065296,             0.42382,             0.40616,             0.36386,             0.26153,            0.019063,           0.0046236,            0.041032,            0.008284,            0.008284,            0.008284
                  54,            0.031657,            0.014468,             0.06445,             0.34863,             0.55778,             0.37852,             0.27535,            0.019032,           0.0046051,            0.042105,            0.008251,            0.008251,            0.008251
                  55,            0.028812,            0.013398,            0.063501,              0.3563,              0.4718,             0.37495,             0.27273,            0.020226,           0.0045028,            0.041202,            0.008218,            0.008218,            0.008218
                  56,            0.030471,            0.013524,             0.06526,             0.34978,             0.47277,             0.33147,             0.22543,            0.020627,           0.0044847,            0.041698,            0.008185,            0.008185,            0.008185
                  57,            0.030897,            0.013358,            0.063384,             0.22471,             0.50966,             0.38318,             0.26991,            0.020326,           0.0046822,             0.03915,            0.008152,            0.008152,            0.008152
                  58,            0.030572,             0.01279,             0.06287,             0.30863,             0.53327,             0.41731,             0.27385,            0.020309,           0.0044884,            0.040256,            0.008119,            0.008119,            0.008119
                  59,             0.03228,            0.013244,            0.063014,             0.33188,             0.51085,              0.3921,             0.26335,            0.018261,           0.0042562,            0.039324,            0.008086,            0.008086,            0.008086
                  60,            0.030523,            0.013253,             0.06293,             0.28276,             0.58272,             0.40219,             0.29419,            0.017542,           0.0041015,            0.039073,            0.008053,            0.008053,            0.008053
                  61,            0.029418,            0.012392,            0.062565,             0.24022,             0.58704,             0.38995,             0.28699,            0.017327,           0.0044987,            0.038098,             0.00802,             0.00802,             0.00802
